condition,gene,avoid food,recommended food,why_recommended,
Halitosis (Bad Breath),N/A,"Garlic, Onion","Mint, Parsley",Neutralizes odor-causing bacteria,
Eye Strain,N/A,Screen overuse,"Carrots, Omega-3s",Supports vision and reduces strain,
Cataract,CRYAA,"High sugar, Smoking","Vitamin C & E, Spinach",Protects lens protein from oxidation,
Glaucoma,MYOC,"Salt, Caffeine","Leafy greens, Nitrate-rich food",Regulates eye pressure,
Tinnitus,N/A,"Caffeine, Alcohol",Magnesium-rich foods,Supports nerve function,
Nose Bleed,N/A,Hot/spicy foods,"Vitamin K, Watermelon",Improves clotting and hydration,
Dry Nose,N/A,"Dry air, Alcohol","Water, Omega-3 foods",Keeps nasal tissue moist,
Ear Infection,N/A,Cold exposure,"Garlic, Warm liquids",Has natural antimicrobial effects,
Jaw Pain,N/A,"Hard food, Chewing gum","Soft diet, Turmeric",Reduces strain and inflammation,
Neck Inflammation,N/A,"Cold exposure, Poor posture",Anti-inflammatory foods,Reduces pain and supports mobility,
Swollen Lymph Nodes,N/A,High fat diet,"Citrus, Antioxidants",Boosts immune response,
Shoulder Pain,N/A,"Overuse, Cold drinks","Warm fluids, Protein",Improves circulation and muscle healing,
Tennis Elbow,N/A,Repetitive arm movement,"Omega-3s, Collagen-rich foods",Supports tendon repair,
Elbow Bursitis,N/A,Pressure on elbow,"Pineapple, Anti-inflammatory diet",Reduces swelling,
Carpal Tunnel,N/A,Repetitive hand use,"Vitamin B6, Turmeric",Nerve support and pain reduction,
Finger Stiffness,N/A,Cold exposure,"Warm soup, Leafy greens",Improves blood flow,
Nail Inflammation,N/A,"Nail biting, Lack of hygiene","Zinc, Biotin-rich foods",Supports nail health,
Itchy Scalp,N/A,"Dandruff, Hair oil chemicals","Neem, Aloe Vera",Antibacterial and soothing,
Oily Skin,N/A,"Fried food, Sugar","Green tea, Cucumber",Controls sebum production,
Dark Circles,N/A,"Sleep deprivation, Salt","Iron-rich foods, Water",Reduces puffiness and pigmentation,
Dry Lips,N/A,"Dehydration, Licking lips","Water, Vitamin E",Moisturizes and repairs lip tissue,
Back Pain,N/A,Sedentary lifestyle,"Magnesium, Omega-3s",Reduces tension and pain,
Knee Joint Pain,N/A,"Red meat, Sugar","Fatty fish, Collagen-rich foods",Anti-inflammatory effect on joints,
Heel Pain,N/A,Wrong shoes,"Protein, Calcium",Supports tissue repair,
Blurred Vision,N/A,"Sugar, Lack of sleep","Vitamin A, Carrots",Protects retina and improves clarity,
Vertigo,N/A,"Caffeine, Alcohol","Hydration, Vitamin D",Improves balance and ear function,
Muscle Weakness,DMD,"Sodium, Alcohol","Protein, Magnesium",Supports muscle strength,
Cramps,N/A,"Dehydration, Salt",Potassium-rich foods,Prevents muscle spasms,
Sweating Excessive,N/A,"Caffeine, Spicy food","Water, Magnesium foods",Regulates sweat glands,
Cold Feet,N/A,Poor circulation,"Ginger, Garlic",Improves blood flow,
Menstrual Cramps,N/A,"Sugar, Salt","Omega-3s, Leafy greens",Relieves pain and balances hormones,
Irregular Periods,N/A,"Junk food, Dairy","Cinnamon, Whole grains",Regulates hormones,
Vaginal Dryness,N/A,"Alcohol, Sugar","Omega-3s, Water-rich fruits",Restores hydration and pH,
Frequent Urination,N/A,"Coffee, Carbonated drinks","Cranberry juice, Fiber-rich foods",Supports urinary tract health,
Burning Urination,N/A,"Spicy foods, Caffeine","Water, Probiotics",Soothes urinary tract,
Poor Immunity,N/A,"Processed food, Soda","Vitamin C, Zinc, Garlic",Strengthens immune response,
Weak Bones,VDR,"Soda, Caffeine","Calcium, Vitamin D",Improves bone strength,
Memory Loss,APOE,"Trans fats, Sugar","Omega-3s, Berries",Enhances brain function,
Slow Wound Healing,N/A,"Sugar, Processed food","Protein, Vitamin C",Accelerates tissue repair,
Low Libido,N/A,"Alcohol, Fatty food","Zinc, Dark chocolate",Supports hormonal health,
Night Blindness,RHO,Low Vitamin A diet,"Carrots, Sweet potatoes",Enhances night vision,
Pale Skin,N/A,Iron-poor diet,"Red meat, Spinach",Increases hemoglobin,
Yellow Eyes (Jaundice),N/A,"Alcohol, Oily foods","Papaya, Lemon water",Supports liver detox,
Eye Twitching,N/A,"Stress, Caffeine",Magnesium-rich food,Relieves nerve tension,
